Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-30 00:00:00+00:00,19573.224609375,19620.18359375,19475.23828125,19512.091796875,8167424,0.0,0.0
2022-09-30 01:00:00+00:00,19538.9921875,19538.9921875,19463.26953125,19502.025390625,57843712,0.0,0.0
2022-09-30 02:00:00+00:00,19502.013671875,19502.013671875,19391.97265625,19400.17578125,0,0.0,0.0
2022-09-30 03:00:00+00:00,19390.4296875,19409.064453125,19360.82421875,19387.8203125,0,0.0,0.0
2022-09-30 04:00:00+00:00,19388.765625,19452.228515625,19388.765625,19429.875,0,0.0,0.0
2022-09-30 05:00:00+00:00,19430.244140625,19481.591796875,19430.244140625,19454.453125,0,0.0,0.0
2022-09-30 06:00:00+00:00,19453.923828125,19483.228515625,19427.7890625,19451.990234375,0,0.0,0.0
2022-09-30 07:00:00+00:00,19451.50390625,19597.400390625,19451.50390625,19574.447265625,279654400,0.0,0.0
2022-09-30 08:00:00+00:00,19570.18359375,19600.75,19536.20703125,19600.75,38998016,0.0,0.0
2022-09-30 09:00:00+00:00,19603.412109375,19603.412109375,19513.67578125,19513.67578125,0,0.0,0.0
2022-09-30 10:00:00+00:00,19519.673828125,19550.919921875,19475.451171875,19476.962890625,256864256,0.0,0.0
2022-09-30 11:00:00+00:00,19474.541015625,19495.49609375,19437.78515625,19437.78515625,0,0.0,0.0
2022-09-30 12:00:00+00:00,19440.322265625,19460.140625,19269.814453125,19302.990234375,718577664,0.0,0.0
2022-09-30 13:00:00+00:00,19303.05859375,19440.919921875,19265.662109375,19440.919921875,98562048,0.0,0.0
2022-09-30 14:00:00+00:00,19438.634765625,19956.736328125,19438.634765625,19956.736328125,1406062592,0.0,0.0
2022-09-30 15:00:00+00:00,19959.212890625,20109.314453125,19757.923828125,19757.923828125,1372168192,0.0,0.0
2022-09-30 16:00:00+00:00,19766.140625,19823.908203125,19631.185546875,19725.669921875,522620928,0.0,0.0
2022-09-30 17:00:00+00:00,19723.857421875,19782.4296875,19637.873046875,19693.37890625,0,0.0,0.0
2022-09-30 18:00:00+00:00,19695.853515625,19790.544921875,19668.205078125,19668.205078125,0,0.0,0.0
2022-09-30 19:00:00+00:00,19670.552734375,19725.943359375,19556.021484375,19556.021484375,6602752,0.0,0.0
2022-09-30 20:00:00+00:00,19530.99609375,19530.99609375,19405.90625,19421.203125,742625280,0.0,0.0
2022-09-30 21:00:00+00:00,19423.27734375,19432.7109375,19343.904296875,19380.59375,223428608,0.0,0.0
2022-09-30 22:00:00+00:00,19379.11328125,19390.943359375,19297.830078125,19377.185546875,305762304,0.0,0.0
2022-09-30 23:00:00+00:00,19379.62890625,19460.71875,19379.59375,19431.54296875,0,0.0,0.0
2022-10-01 00:00:00+00:00,19431.03125,19471.154296875,19386.865234375,19400.0,0,0.0,0.0
2022-10-01 01:00:00+00:00,19400.1328125,19425.0390625,19389.67578125,19425.0390625,0,0.0,0.0
2022-10-01 02:00:00+00:00,19424.0390625,19426.05859375,19404.068359375,19422.853515625,0,0.0,0.0
2022-10-01 03:00:00+00:00,19421.57421875,19428.255859375,19388.19140625,19412.548828125,0,0.0,0.0
2022-10-01 04:00:00+00:00,19413.6328125,19415.1171875,19389.947265625,19404.400390625,0,0.0,0.0
2022-10-01 05:00:00+00:00,19405.517578125,19413.880859375,19314.927734375,19316.205078125,33124352,0.0,0.0
2022-10-01 06:00:00+00:00,19319.333984375,19322.59375,19293.287109375,19298.92578125,0,0.0,0.0
2022-10-01 07:00:00+00:00,19299.876953125,19323.091796875,19285.970703125,19318.162109375,0,0.0,0.0
2022-10-01 08:00:00+00:00,19317.501953125,19343.59375,19316.296875,19335.494140625,0,0.0,0.0
2022-10-01 09:00:00+00:00,19336.134765625,19353.240234375,19324.298828125,19341.685546875,0,0.0,0.0
2022-10-01 10:00:00+00:00,19339.572265625,19354.583984375,19320.248046875,19337.466796875,0,0.0,0.0
2022-10-01 11:00:00+00:00,19335.94140625,19342.298828125,19238.498046875,19305.9765625,0,0.0,0.0
2022-10-01 12:00:00+00:00,19306.029296875,19306.703125,19262.8671875,19282.580078125,0,0.0,0.0
2022-10-01 13:00:00+00:00,19283.1015625,19358.10546875,19283.1015625,19333.060546875,0,0.0,0.0
2022-10-01 14:00:00+00:00,19331.5234375,19337.9296875,19308.3125,19323.755859375,0,0.0,0.0
2022-10-01 15:00:00+00:00,19323.08203125,19349.25,19317.068359375,19332.783203125,0,0.0,0.0
2022-10-01 16:00:00+00:00,19332.9609375,19336.7109375,19269.72265625,19282.982421875,0,0.0,0.0
2022-10-01 17:00:00+00:00,19285.935546875,19301.74609375,19274.92578125,19281.556640625,0,0.0,0.0
2022-10-01 18:00:00+00:00,19281.9453125,19303.708984375,19253.62109375,19303.708984375,0,0.0,0.0
2022-10-01 19:00:00+00:00,19303.322265625,19311.623046875,19252.310546875,19282.9453125,0,0.0,0.0
2022-10-01 20:00:00+00:00,19280.537109375,19280.537109375,19231.08203125,19259.02734375,0,0.0,0.0
2022-10-01 21:00:00+00:00,19258.953125,19301.919921875,19255.53125,19295.337890625,0,0.0,0.0
2022-10-01 22:00:00+00:00,19294.97265625,19326.58984375,19286.642578125,19323.5234375,0,0.0,0.0
2022-10-01 23:00:00+00:00,19324.11328125,19332.513671875,19303.603515625,19309.8671875,0,0.0,0.0
2022-10-02 00:00:00+00:00,19311.849609375,19322.921875,19271.833984375,19289.521484375,0,0.0,0.0
2022-10-02 01:00:00+00:00,19288.06640625,19304.51953125,19281.375,19302.31640625,0,0.0,0.0
2022-10-02 02:00:00+00:00,19304.310546875,19337.0625,19304.310546875,19326.6015625,0,0.0,0.0
2022-10-02 03:00:00+00:00,19327.083984375,19327.083984375,19300.96875,19311.61328125,0,0.0,0.0
2022-10-02 04:00:00+00:00,19313.470703125,19327.888671875,19306.685546875,19327.888671875,0,0.0,0.0
2022-10-02 05:00:00+00:00,19327.58984375,19370.30859375,19322.89453125,19329.9921875,0,0.0,0.0
2022-10-02 06:00:00+00:00,19331.955078125,19360.703125,19304.841796875,19304.841796875,0,0.0,0.0
2022-10-02 07:00:00+00:00,19304.869140625,19304.869140625,19268.83203125,19284.9921875,41402368,0.0,0.0
2022-10-02 08:00:00+00:00,19286.55078125,19295.5390625,19272.892578125,19276.890625,0,0.0,0.0
2022-10-02 09:00:00+00:00,19281.005859375,19285.884765625,19254.546875,19260.521484375,36773888,0.0,0.0
2022-10-02 10:00:00+00:00,19263.28515625,19264.03515625,19101.189453125,19110.01953125,725979136,0.0,0.0
2022-10-02 11:00:00+00:00,19113.23828125,19243.087890625,19109.603515625,19200.5703125,0,0.0,0.0
2022-10-02 12:00:00+00:00,19199.57421875,19228.19921875,19167.36328125,19169.884765625,0,0.0,0.0
2022-10-02 13:00:00+00:00,19170.4921875,19188.65234375,19147.400390625,19170.447265625,0,0.0,0.0
2022-10-02 14:00:00+00:00,19167.11328125,19179.31640625,19113.90234375,19118.166015625,25688064,0.0,0.0
2022-10-02 15:00:00+00:00,19117.400390625,19149.8515625,19115.998046875,19148.224609375,84766720,0.0,0.0
2022-10-02 16:00:00+00:00,19149.771484375,19218.060546875,19144.865234375,19202.509765625,0,0.0,0.0
2022-10-02 17:00:00+00:00,19202.150390625,19216.291015625,19183.61328125,19210.390625,0,0.0,0.0
2022-10-02 18:00:00+00:00,19210.203125,19212.333984375,19171.033203125,19210.220703125,0,0.0,0.0
2022-10-02 19:00:00+00:00,19211.673828125,19312.474609375,19211.673828125,19276.623046875,334804992,0.0,0.0
2022-10-02 20:00:00+00:00,19274.685546875,19276.1328125,19243.05078125,19248.58203125,0,0.0,0.0
2022-10-02 21:00:00+00:00,19245.322265625,19245.322265625,19142.078125,19197.908203125,0,0.0,0.0
2022-10-02 22:00:00+00:00,19195.345703125,19261.9921875,19170.71875,19179.248046875,841111552,0.0,0.0
2022-10-02 23:00:00+00:00,19183.859375,19183.859375,18970.62109375,19042.904296875,1771151360,0.0,0.0
2022-10-03 00:00:00+00:00,19044.138671875,19108.0234375,19025.2265625,19080.60546875,813688832,0.0,0.0
2022-10-03 01:00:00+00:00,19081.771484375,19240.400390625,19081.771484375,19229.60546875,760080384,0.0,0.0
2022-10-03 02:00:00+00:00,19229.095703125,19230.720703125,19167.056640625,19173.470703125,457555968,0.0,0.0
2022-10-03 03:00:00+00:00,19164.984375,19190.052734375,19158.80859375,19174.361328125,269236224,0.0,0.0
2022-10-03 04:00:00+00:00,19175.755859375,19175.755859375,19112.73046875,19117.2109375,252665856,0.0,0.0
2022-10-03 05:00:00+00:00,19115.505859375,19262.314453125,19088.68359375,19262.314453125,373026816,0.0,0.0
2022-10-03 06:00:00+00:00,19261.404296875,19280.212890625,19186.82421875,19198.953125,540073984,0.0,0.0
